Mon Feb 15 21:34:11 2021    output.dat

         3305284568 function calls (3264835398 primitive calls) in 7006.120 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      272 4170.871   15.334 4170.871   15.334 {method 'acquire' of '_thread.lock' objects}
  1856795    6.460    0.000  532.765    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/ops/array_ops.py:194(comparison_op)
  7010826    6.336    0.000    8.723    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/generic.py:377(_get_axis)
   934313    6.320    0.000    6.320    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
  2773355    6.203    0.000   34.632    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/series.py:868(__getitem__)
  2561835    6.044    0.000   50.522    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/base.py:5642(default_index)
33918421/33918157    5.995    0.000    8.049    0.000 {built-in method builtins.hash}
  2784491    5.853    0.000  941.276    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/ops/common.py:50(new_method)
  2561835    5.852    0.000   85.774    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:87(maybe_convert_platform)
 10730834    5.810    0.000    5.810    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/blocks.py:134(_check_ndim)
  4546352    5.806    0.000    6.508    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/base.py:4030(__contains__)
  7928113    5.782    0.000   27.645    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/common.py:530(is_categorical_dtype)
  1856795    5.746    0.000  752.023    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/ops/__init__.py:359(wrapper)
  5131968    5.718    0.000   16.888    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexing.py:1419(_validate_integer)
   929099    5.679    0.000    5.679    0.000 {method 'take' of 'numpy.ndarray' objects}
  7940151    5.590    0.000    8.978    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/managers.py:1613(internal_values)
  5131968    5.561    0.000    8.254    0.000 /home/kd/anaconda3/lib/python3.7/locale.py:384(normalize)
  7928046    5.368    0.000   33.391    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/common.py:492(is_interval_dtype)
  2561843    5.353    0.000   15.443    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/range.py:134(_simple_new)
 14894836    5.307    0.000    6.908    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1565(_get_dtype)
 20054313    5.293    0.000    5.293    0.000 {method 'get' of 'dict' objects}
  2561867    5.168    0.000   19.506    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/numpy/core/numeric.py:290(full)
  5131968    5.157    0.000  103.619    0.000 {built-in method strptime}
  3720165    5.152    0.000   16.871    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/base.py:4190(equals)
  1855393    5.141    0.000  511.767    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/ops/array_ops.py:38(comp_method_OBJECT_ARRAY)
  4431873    5.021    0.000   11.252    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/common.py:696(is_integer_dtype)
   929099    5.011    0.000  254.912    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/generic.py:3249(take)
